cfheps_amount,zip,month,timely_issuance,agency_action
478.00,10019,2023-12-01,Timely,N/A
997.00,10019,2023-12-01,Timely,N/A
311.91,10019,2023-12-01,Timely,N/A
944.00,10019,2023-12-01,Timely,N/A
769.11,10019,2023-12-01,Timely,N/A
750.00,10019,2023-12-01,Timely,N/A
823.52,10019,2023-12-01,Timely,N/A
2553.00,10019,2023-12-01,Timely,N/A
2811.70,10019,2023-12-01,Timely,N/A
582.90,10019,2023-12-01,Timely,N/A
306.70,10019,2023-12-01,Timely,N/A
2330.15,10019,2023-12-01,Timely,N/A
328.03,10019,2023-12-01,Timely,N/A
1031.67,10019,2023-12-01,Timely,N/A
1851.08,10019,2023-12-01,Timely,N/A
997.00,10019,2023-12-01,Timely,N/A
1176.29,10019,2023-12-01,Timely,N/A
654.11,10019,2023-12-01,Timely,N/A
1622.45,10019,2023-12-01,Timely,N/A
2467.09,10019,2023-12-01,Timely,N/A
2179.00,10019,2023-12-01,Timely,N/A
2072.00,10019,2023-12-01,Timely,N/A
594.06,10019,2023-12-01,Timely,N/A
2798.97,10019,2023-12-01,Timely,N/A
1714.73,10019,2023-12-01,Timely,N/A
2215.93,10019,2023-12-01,Timely,N/A
2062.00,10019,2023-12-01,Timely,N/A
502.00,10019,2023-12-01,Timely,N/A
750.00,10019,2023-12-01,Timely,N/A
1336.85,10019,2023-12-01,Timely,N/A
2605.59,10019,2023-12-01,Timely,N/A
2062.00,10019,2023-12-01,Timely,N/A
2012.72,10019,2023-12-01,Timely,N/A
2179.00,10019,2023-12-01,Timely,N/A
3036.00,10019,2023-12-01,Timely,N/A
2483.10,10019,2023-12-01,Timely,N/A
2212.00,10019,2023-12-01,Timely,N/A
2158.72,10019,2023-12-01,Timely,N/A
2850.65,10019,2023-12-01,Timely,N/A
2216.15,10019,2023-12-01,Timely,N/A
2676.00,10019,2023-12-01,Timely,N/A
2503.00,10019,2023-12-01,Timely,N/A
2162.10,10019,2023-12-01,Timely,N/A
1885.00,10019,2023-12-01,Timely,N/A
1994.04,10019,2023-12-01,Timely,N/A
2300.42,10019,2023-12-01,Timely,N/A
832.81,10021,2023-12-01,Timely,N/A
577.32,10021,2023-12-01,Timely,N/A
925.35,10021,2023-12-01,Timely,N/A
919.00,10021,2023-12-01,Timely,N/A
571.83,10021,2023-12-01,Timely,N/A
706.49,10021,2023-12-01,Timely,N/A
983.90,10022,2023-12-01,Timely,N/A
1587.00,10022,2023-12-01,Timely,N/A
1005.80,10022,2023-12-01,Timely,N/A
1403.81,10022,2023-12-01,Timely,N/A
1477.69,10022,2023-12-01,Timely,N/A
1050.00,10022,2023-12-01,Timely,N/A
739.20,10022,2023-12-01,Timely,N/A
1050.00,10022,2023-12-01,Timely,N/A
849.15,10022,2023-12-01,Timely,N/A
1050.00,10022,2023-12-01,Timely,N/A
1050.00,10022,2023-12-01,Timely,N/A
1050.00,10022,2023-12-01,Timely,N/A
1613.80,10022,2023-12-01,Timely,N/A
574.16,10022,2023-12-01,Timely,N/A
238.01,10022,2023-12-01,Timely,N/A
854.23,10022,2023-12-01,Timely,N/A
1050.00,10022,2023-12-01,Timely,N/A
985.70,10022,2023-12-01,Timely,N/A
414.71,10022,2023-12-01,Timely,N/A
1012.70,10022,2023-12-01,Timely,N/A
1005.80,10022,2023-12-01,Timely,N/A
1139.13,10022,2023-12-01,Timely,N/A
899.36,10023,2023-12-01,Timely,N/A
525.24,10023,2023-12-01,Timely,N/A
830.43,10023,2023-12-01,Timely,N/A
590.89,10023,2023-12-01,Timely,N/A
781.30,10023,2023-12-01,Timely,N/A
620.13,10023,2023-12-01,Timely,N/A
851.00,10023,2023-12-01,Timely,N/A
521.43,10023,2023-12-01,Timely,N/A
635.26,10023,2023-12-01,Timely,N/A
623.56,10023,2023-12-01,Timely,N/A
776.39,10023,2023-12-01,Timely,N/A
1270.00,10023,2023-12-01,Timely,N/A
717.90,10023,2023-12-01,Timely,N/A
684.52,10023,2023-12-01,Timely,N/A
909.31,10023,2023-12-01,Timely,N/A
674.42,10023,2023-12-01,Timely,N/A
310.52,10023,2023-12-01,Timely,N/A
731.88,10023,2023-12-01,Timely,N/A
471.67,10023,2023-12-01,Timely,N/A
1491.96,10023,2023-12-01,Timely,N/A
539.43,10023,2023-12-01,Timely,N/A
637.72,10023,2023-12-01,Timely,N/A
618.65,10023,2023-12-01,Timely,N/A
878.74,10023,2023-12-01,Timely,N/A
788.93,10023,2023-12-01,Timely,N/A
870.85,10023,2023-12-01,Timely,N/A
925.67,10023,2023-12-01,Timely,N/A
752.60,10023,2023-12-01,Timely,N/A
616.62,10023,2023-12-01,Timely,N/A
739.09,10023,2023-12-01,Timely,N/A
272.19,10023,2023-12-01,Timely,N/A
856.71,10023,2023-12-01,Timely,N/A
692.99,10023,2023-12-01,Timely,N/A
773.82,10023,2023-12-01,Timely,N/A
677.61,10023,2023-12-01,Timely,N/A
799.53,10023,2023-12-01,Timely,N/A
765.37,10023,2023-12-01,Timely,N/A
2058.25,10023,2023-12-01,Timely,N/A
526.24,10023,2023-12-01,Timely,N/A
809.08,10023,2023-12-01,Timely,N/A
950.03,10023,2023-12-01,Timely,N/A
748.17,10023,2023-12-01,Timely,N/A
599.46,10023,2023-12-01,Timely,N/A
614.41,10023,2023-12-01,Timely,N/A
1927.02,10023,2023-12-01,Timely,N/A
660.99,10023,2023-12-01,Timely,N/A
1052.80,10023,2023-12-01,Timely,N/A
524.85,10023,2023-12-01,Timely,N/A
741.12,10023,2023-12-01,Timely,N/A
568.29,10023,2023-12-01,Timely,N/A
380.60,10024,2023-12-01,Timely,N/A
1419.00,10024,2023-12-01,Timely,N/A
1203.88,10024,2023-12-01,Timely,N/A
1309.86,10024,2023-12-01,Timely,N/A
635.29,10024,2023-12-01,Timely,N/A
792.63,10024,2023-12-01,Timely,N/A
1102.50,10024,2023-12-01,Timely,N/A
195.00,10024,2023-12-01,Timely,N/A
1220.83,10024,2023-12-01,Timely,N/A
832.00,10024,2023-12-01,Timely,N/A
845.78,10024,2023-12-01,Timely,N/A
832.00,10024,2023-12-01,Timely,N/A
832.00,10024,2023-12-01,Timely,N/A
1419.00,10024,2023-12-01,Timely,N/A
