zip,no_payments,amount_total,modzcta,zcta,pop_est,nyc,NAME,medincomeE,medincomeM,county,total_pop,total_vouchers,prop_pop,prop_vouchers
11225,246,418680,11225,11225,58882,TRUE,ZCTA5 11225,82716,7405,Kings,8872576,45429,0.663640412885728,0.5415043254308921
11226,768,1423136,11226,11226,100277,TRUE,ZCTA5 11226,75947,4212,Kings,8872576,45429,1.1301903753768918,1.6905500891501022
11228,22,32208,11228,11228,44994,TRUE,ZCTA5 11228,83980,6446,Kings,8872576,45429,0.5071131540603315,0.04842721609544564
11229,80,145140,11229,11229,83615,TRUE,ZCTA5 11229,72799,5187,Kings,8872576,45429,0.9423982392486692,0.17609896761980232
11230,124,224437,11230,11230,89075,TRUE,ZCTA5 11230,65051,3665,Kings,8872576,45429,1.0039361736659118,0.2729533998106936
11231,16,14623,11231,11231,37845,TRUE,ZCTA5 11231,130396,9536,Kings,8872576,45429,0.42653903443599694,0.035219793523960465
11232,22,35303,11232,11232,27602,TRUE,ZCTA5 11232,79599,10768,Kings,8872576,45429,0.3110934186418916,0.04842721609544564
11233,792,1236855,11233,11233,76819,TRUE,ZCTA5 11233,57812,5074,Kings,8872576,45429,0.8658026710619329,1.7433797794360428
11234,157,282809,11234,11234,95666,TRUE,ZCTA5 11234,91379,2339,Kings,8872576,45429,1.0782212516410115,0.3455942239538621
11235,70,103768,11235,11235,78128,TRUE,ZCTA5 11235,61320,3114,Kings,8872576,45429,0.8805559963645283,0.15408659666732702
11236,503,868500,11236,11236,100331,TRUE,ZCTA5 11236,79885,4157,Kings,8872576,45429,1.1307989923106885,1.107222258909507
11237,126,203708,11237,11237,49310,TRUE,ZCTA5 11237,79136,6178,Kings,8872576,45429,0.555757426028247,0.27735587400118866
11238,195,274745,11238,11238,54540,TRUE,ZCTA5 11238,125747,8082,Kings,8872576,45429,0.6147031031348732,0.4292412335732682
